==PROF== Connected to process 325414 (/work/07044/rl33579/ls6/uvm_pin_async/workloads/micro/standard/vector_seq/vector_seq)
==PROF== Disconnected from process 325414
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","325414","vector_seq","127.0.0.1","vector_seq_kernel(float *, unsigned long, unsigned long, unsigned long)","1","7","(256, 1, 1)","(64, 1, 1)","0","8.0","Command line profiler metrics","dram__bytes_read.sum","byte","34,367,303,040"
"0","325414","vector_seq","127.0.0.1","vector_seq_kernel(float *, unsigned long, unsigned long, unsigned long)","1","7","(256, 1, 1)","(64, 1, 1)","0","8.0","Command line profiler metrics","dram__bytes_write.sum","byte","34,341,871,104"
"0","325414","vector_seq","127.0.0.1","vector_seq_kernel(float *, unsigned long, unsigned long, unsigned long)","1","7","(256, 1, 1)","(64, 1, 1)","0","8.0","Command line profiler metrics","dram__sectors_read.sum","sector","1,073,978,220"
"0","325414","vector_seq","127.0.0.1","vector_seq_kernel(float *, unsigned long, unsigned long, unsigned long)","1","7","(256, 1, 1)","(64, 1, 1)","0","8.0","Command line profiler metrics","dram__sectors_write.sum","sector","1,073,183,472"
"0","325414","vector_seq","127.0.0.1","vector_seq_kernel(float *, unsigned long, unsigned long, unsigned long)","1","7","(256, 1, 1)","(64, 1, 1)","0","8.0","Command line profiler metrics","l1tex__average_t_sectors_per_request_pipe_lsu_mem_global_op_ld.ratio","sector/request","4"
"0","325414","vector_seq","127.0.0.1","vector_seq_kernel(float *, unsigned long, unsigned long, unsigned long)","1","7","(256, 1, 1)","(64, 1, 1)","0","8.0","Command line profiler metrics","l1tex__t_bytes_pipe_lsu_mem_global_op_ld.sum.per_second","byte/second","38,765,515,494.48"
"0","325414","vector_seq","127.0.0.1","vector_seq_kernel(float *, unsigned long, unsigned long, unsigned long)","1","7","(256, 1, 1)","(64, 1, 1)","0","8.0","Command line profiler metrics","l1tex__t_bytes_pipe_lsu_mem_global_op_st.sum.per_second","byte/second","38,765,515,494.48"
"0","325414","vector_seq","127.0.0.1","vector_seq_kernel(float *, unsigned long, unsigned long, unsigned long)","1","7","(256, 1, 1)","(64, 1, 1)","0","8.0","Command line profiler metrics","l1tex__t_requests_pipe_lsu_mem_global_op_ld.sum","request","268,435,456"
"0","325414","vector_seq","127.0.0.1","vector_seq_kernel(float *, unsigned long, unsigned long, unsigned long)","1","7","(256, 1, 1)","(64, 1, 1)","0","8.0","Command line profiler metrics","l1tex__t_requests_pipe_lsu_mem_global_op_red.sum","request","0"
"0","325414","vector_seq","127.0.0.1","vector_seq_kernel(float *, unsigned long, unsigned long, unsigned long)","1","7","(256, 1, 1)","(64, 1, 1)","0","8.0","Command line profiler metrics","l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum","sector","1,073,741,824"
"0","325414","vector_seq","127.0.0.1","vector_seq_kernel(float *, unsigned long, unsigned long, unsigned long)","1","7","(256, 1, 1)","(64, 1, 1)","0","8.0","Command line profiler metrics","l1tex__t_sectors_pipe_lsu_mem_global_op_ld_lookup_hit.sum","sector","0"
"0","325414","vector_seq","127.0.0.1","vector_seq_kernel(float *, unsigned long, unsigned long, unsigned long)","1","7","(256, 1, 1)","(64, 1, 1)","0","8.0","Command line profiler metrics","l1tex__t_sectors_pipe_lsu_mem_global_op_st.sum","sector","1,073,741,824"
"0","325414","vector_seq","127.0.0.1","vector_seq_kernel(float *, unsigned long, unsigned long, unsigned long)","1","7","(256, 1, 1)","(64, 1, 1)","0","8.0","Command line profiler metrics","l1tex__t_sectors_pipe_lsu_mem_global_op_st_lookup_hit.sum","sector","732,616,452"
"0","325414","vector_seq","127.0.0.1","vector_seq_kernel(float *, unsigned long, unsigned long, unsigned long)","1","7","(256, 1, 1)","(64, 1, 1)","0","8.0","Command line profiler metrics","smsp__inst_executed.sum","inst","51,489,303,552"
