start_tsc 9263541789443575 start_tsp 1739292286982504362
NODE_N=50
Initialization...
setting device 0 with name NVIDIA A100-PCIE-40GB
CUPTI_ACTIVITY_ATTR_DEVICE_BUFFER_SIZE = 3200000 B
CUPTI_ACTIVITY_ATTR_DEVICE_BUFFER_SIZE = 6400000 B
CUPTI_ACTIVITY_ATTR_DEVICE_BUFFER_POOL_LIMIT = 250
CUPTI_ACTIVITY_ATTR_DEVICE_BUFFER_POOL_LIMIT = 500
OK, begin to generate orders.
CPU_Times,1739292287507620352,1739292288044127744,536507392
Overlap_Times,0,0,0
RUNTIME cudaMalloc_v3020 (cbid=20), 1739292287507631134,1739292287507770316,139182, process 3626769, thread 2732793856, correlation 1
RUNTIME cudaMalloc_v3020 (cbid=20), 1739292287507770717,1739292287507775356,4639, process 3626769, thread 2732793856, correlation 2
RUNTIME cudaMalloc_v3020 (cbid=20), 1739292287507775466,1739292287507778061,2595, process 3626769, thread 2732793856, correlation 3
RUNTIME cudaMemset_v3020 (cbid=49), 1739292287507797698,1739292287507822034,24336, process 3626769, thread 2732793856, correlation 4
RUNTIME cudaMemset_v3020 (cbid=49), 1739292287507822164,1739292287507824468,2304, process 3626769, thread 2732793856, correlation 5
MEMCPY HtoD, size 50, 0, 0, 0
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292287507826462,1739292287507857761,31299, process 3626769, thread 2732793856, correlation 6
KERNEL computeKernel(int, int, float*, bool*, int, int, float*, int*, int), 0, 0, 0
RUNTIME cudaLaunchKernel_v7000 (cbid=211), 1739292287507863101,1739292287508241853,378752, process 3626769, thread 2732793856, correlation 7
RUNTIME cudaDeviceSynchronize_v3020 (cbid=165), 1739292287508242284,1739292288031032530,522790246, process 3626769, thread 2732793856, correlation 8
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031032921,1739292288031035646,2725, process 3626769, thread 2732793856, correlation 9
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031035796,1739292288031036076,280, process 3626769, thread 2732793856, correlation 10
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031037018,1739292288031038461,1443, process 3626769, thread 2732793856, correlation 11
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031038541,1739292288031038671,130, process 3626769, thread 2732793856, correlation 12
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031038731,1739292288031039543,812, process 3626769, thread 2732793856, correlation 13
RUNTIME cudaLaunchKernel_v7000 (cbid=211), 1739292288031040074,1739292288031040735,661, process 3626769, thread 2732793856, correlation 14
RUNTIME cudaDeviceSynchronize_v3020 (cbid=165), 1739292288031040815,1739292288031040956,141, process 3626769, thread 2732793856, correlation 15
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031041026,1739292288031041256,230, process 3626769, thread 2732793856, correlation 16
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031041316,1739292288031041527,211, process 3626769, thread 2732793856, correlation 17
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031042128,1739292288031042238,110, process 3626769, thread 2732793856, correlation 18
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031042308,1739292288031042418,110, process 3626769, thread 2732793856, correlation 19
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031042479,1739292288031042689,210, process 3626769, thread 2732793856, correlation 20
RUNTIME cudaLaunchKernel_v7000 (cbid=211), 1739292288031042869,1739292288031043109,240, process 3626769, thread 2732793856, correlation 21
RUNTIME cudaDeviceSynchronize_v3020 (cbid=165), 1739292288031043170,1739292288031043290,120, process 3626769, thread 2732793856, correlation 22
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031043350,1739292288031043561,211, process 3626769, thread 2732793856, correlation 23
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031043621,1739292288031043821,200, process 3626769, thread 2732793856, correlation 24
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031044532,1739292288031044643,111, process 3626769, thread 2732793856, correlation 25
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031044692,1739292288031044793,101, process 3626769, thread 2732793856, correlation 26
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031044853,1739292288031045053,200, process 3626769, thread 2732793856, correlation 27
RUNTIME cudaLaunchKernel_v7000 (cbid=211), 1739292288031045204,1739292288031045414,210, process 3626769, thread 2732793856, correlation 28
RUNTIME cudaDeviceSynchronize_v3020 (cbid=165), 1739292288031045474,1739292288031045564,90, process 3626769, thread 2732793856, correlation 29
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031045644,1739292288031045855,211, process 3626769, thread 2732793856, correlation 30
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031045915,1739292288031046125,210, process 3626769, thread 2732793856, correlation 31
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031047398,1739292288031047498,100, process 3626769, thread 2732793856, correlation 32
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031047558,1739292288031047668,110, process 3626769, thread 2732793856, correlation 33
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031047728,1739292288031047939,211, process 3626769, thread 2732793856, correlation 34
RUNTIME cudaLaunchKernel_v7000 (cbid=211), 1739292288031048059,1739292288031048269,210, process 3626769, thread 2732793856, correlation 35
RUNTIME cudaDeviceSynchronize_v3020 (cbid=165), 1739292288031048330,1739292288031048430,100, process 3626769, thread 2732793856, correlation 36
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031048490,1739292288031048700,210, process 3626769, thread 2732793856, correlation 37
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031048760,1739292288031048971,211, process 3626769, thread 2732793856, correlation 38
